Household No.,DIS,Relationship,Gender,Age,Marital status,Educational Level,Ethnicity,Employment status,Employment_sector,Income PP,Income FP,Income SP,Income TP,neighborhood_shop,main_super_market,mini_super_market,home_delivery,own_field,govt_ngo,online,neighbors,fairs,bank_city,bank_near,local_financial,atm_city,atm_near,online_banking,post_office,work_from_home,come_from_home,come_from_renthouse,come_from_commonhostel,work_public,work_shared,work_hired,work_own_motor,work_bicycle,work_walking
1,Gampaha,1,2,3,2,4,1,3,10,1,1,1,1,5.0,1.0,1.0,1.0,-0.5,1.0,1.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
3,Kandy,2,1,3,2,5,3,3,3,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.5,1.0,3.5,2.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,Gampaha,1,2,4,2,4,1,3,4,3,2,2,2,-0.5,1.5,1.5,-2.5,1.0,2.5,0.5,-0.5,4.5,3.5,2.0,1.0,3.5,3.5,1.0,4.0,1.0,3.5,-3.5,1.0,2.0,-0.5,0.5,2.5,1.0,1.0
5,Gampaha,1,2,3,2,5,1,1,6,5,5,5,5,-0.5,3.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,3.5,0.5,1.0,-0.5,-2.0,-3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0
6,Gampaha,1,2,4,2,4,1,7,10,3,2,2,2,-1.0,1.0,1.0,1.0,1.0,0.0,1.0,-2.5,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,Kandy,1,1,2,3,4,1,6,0,3,1,1,1,-1.5,3.5,1.0,-2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,4.0,-5.0,0.5,1.0,5.0,1.0,1.0,1.0,0.5,1.0,-3.0,1.0,1.0
8,Kandy,1,2,5,2,4,1,8,10,3,3,1,2,-2.5,1.0,1.0,-1.0,-2.5,4.0,1.0,1.0,1.0,3.0,1.0,-0.5,1.0,1.0,2.0,2.0,-3.5,-1.0,-1.0,1.0,1.0,-0.5,1.0,-1.0,1.0,1.0
9,Gampaha,1,2,1,2,4,1,3,10,2,1,1,1,0.5,2.0,2.0,-0.5,1.0,2.0,1.0,-2.5,2.0,2.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
11,Kandy,1,2,4,2,5,1,3,10,3,3,3,3,-1.5,1.0,1.0,-2.5,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0
13,Gampaha,1,2,2,2,4,1,10,10,3,1,1,1,-0.5,1.0,1.0,-1.5,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,-1.5,-3.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,Gampaha,1,2,4,2,4,1,4,4,2,2,2,2,-2.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,Gampaha,1,2,6,2,5,1,1,5,1,5,5,5,-4.0,2.0,1.0,-0.5,-0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.5,2.5,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0
18,Gampaha,1,2,4,2,5,1,5,10,3,2,2,2,0.5,4.0,1.5,-5.0,0.5,0.5,0.0,1.0,4.0,2.0,1.0,1.0,2.5,1.0,1.0,1.0,-2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,Matale,2,1,5,3,7,3,10,10,3,3,3,3,4.0,3.0,-0.5,-3.5,3.0,1.0,-2.5,1.0,3.5,3.5,3.0,1.0,3.0,0.5,-1.5,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Kandy,1,1,2,2,4,3,6,0,1,3,3,3,-0.5,-0.5,1.0,0.0,1.0,1.0,1.0,1.0,3.5,1.5,-1.0,1.0,2.5,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,Gampaha,1,2,3,2,4,5,1,9,2,1,1,1,-0.5,2.0,2.0,-0.5,1.0,1.0,1.0,-0.5,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,1.0,1.5,-0.5,1.0,1.0
23,Gampaha,2,1,2,2,6,1,10,8,3,3,3,3,1.0,1.0,1.0,-3.5,1.0,-1.0,1.0,1.0,2.0,3.5,1.0,1.0,-2.5,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
24,Kandy,1,2,4,2,5,1,10,10,1,1,1,1,5.0,1.0,1.0,-0.5,0.5,1.0,-0.5,1.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,Gampaha,1,2,2,2,4,1,3,10,3,3,3,3,2.0,2.0,-1.0,1.0,-2.5,1.0,1.0,-0.5,1.0,5.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,-3.5,-0.5,1.0,1.0
26,Kandy,1,2,4,2,5,1,6,0,2,2,2,2,-0.5,1.0,1.0,1.0,-0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-3.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
27,Gampaha,1,2,3,2,4,5,1,7,2,2,2,2,0.5,2.0,2.0,-3.5,1.0,-0.5,1.0,0.5,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,Gampaha,1,1,3,1,5,1,6,0,2,1,1,1,-0.5,2.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,2.5,0.5,1.0,-2.5,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
